,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
661,Ping Che,Cha Chaan Teng,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
662,Ping Shan,Seafood Restaurant,American Restaurant,Light Rail Station,Zoo Exhibit,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market,Fish & Chips Shop
663,Ping Shek Estate,Fast Food Restaurant,Bus Stop,Coffee Shop,Bus Station,Concert Hall,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival
664,Pingguoyuan,Coffee Shop,Fast Food Restaurant,Bus Station,Metro Station,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Zoo Exhibit
665,Pioneer,Supermarket,Shopping Mall,Bus Stop,Fast Food Restaurant,Zoo Exhibit,Farm,Filipino Restaurant,Field,Festival,Farmers Market
666,Pleasant Plains,Other Repair Shop,Zoo Exhibit,Fishing Spot,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
667,Po Lam Estate,Market,Bus Station,Shopping Mall,Betting Shop,Fast Food Restaurant,Park,Farmers Market,Filipino Restaurant,Field,Festival
668,Po Toi O,Seafood Restaurant,Zoo Exhibit,Fish & Chips Shop,Event Service,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
669,Pok Fu Lam,Hotel,Bus Stop,Cosmetics Shop,Stables,Zoo Exhibit,Farmers Market,Filipino Restaurant,Field,Festival,Fast Food Restaurant
670,Pomonok,Japanese Restaurant,Pizza Place,Supermarket,Chinese Restaurant,Shop & Service,Bar,Playground,Zoo Exhibit,Farmers Market,Field
671,Port Morris,Distillery,Bar,Music Venue,Brewery,Zoo Exhibit,Fish Market,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field
672,Port Union,Park,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
673,Potong Pasir,Fast Food Restaurant,Convenience Store,ATM,Food Court,Snack Place,Bakery,Coffee Shop,Gym / Fitness Center,Flower Shop,Train
674,Praunheim,Supermarket,Gym,Zoo Exhibit,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farm
675,Preungesheim,Tram Station,Fish Market,Event Service,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
676,Prince Edward,Cantonese Restaurant,Chinese Restaurant,Noodle House,Steakhouse,Dim Sum Restaurant,Bakery,Café,Dumpling Restaurant,Hotel,Snack Place
677,Prince's Bay,Chinese Restaurant,Pizza Place,Bank,Italian Restaurant,Sushi Restaurant,Liquor Store,Tanning Salon,Pharmacy,Bagel Shop,Farmers Market
678,Princess Gardens,Gym,Baseball Stadium,Café,Japanese Restaurant,Fast Food Restaurant,Falafel Restaurant,Pub,Restaurant,Wings Joint,Bowling Alley
679,Prospect Heights,Bar,Mexican Restaurant,Café,Coffee Shop,Wine Shop,Brewery,Thai Restaurant,American Restaurant,Sushi Restaurant,Playground
680,Prospect Lefferts Gardens,Pizza Place,Wine Shop,Music Venue,Café,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival,Zoo Exhibit
681,Prospect Park South,Chinese Restaurant,Tennis Court,Donut Shop,Dessert Shop,Zoo Exhibit,Festival,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field
682,Pui O,Spanish Restaurant,Café,Restaurant,Garden Center,Hong Kong Restaurant,Asian Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival
683,Punggol,Chinese Restaurant,Casino,Convenience Store,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market
684,Péngpǔ Zhèn,Arts & Crafts Store,Chinese Restaurant,Metro Station,Food,Park,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival
685,Qianmen,Coffee Shop,Bookstore,History Museum,Monument / Landmark,Fast Food Restaurant,Festival,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field
686,Qinghe,Platform,Zoo Exhibit,Fish Market,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
687,Quarry Bay,Café,Japanese Restaurant,Coffee Shop,Supermarket,Art Gallery,Ramen Restaurant,Taiwanese Restaurant,Bistro,Thai Restaurant,Pizza Place
688,Queen's Park,Coffee Shop,Fried Chicken Joint,Salad Place,Italian Restaurant,Metro Station,Sandwich Place,Café,Middle Eastern Restaurant,Field,Festival
689,Queens Village,Bank,Fried Chicken Joint,Donut Shop,Restaurant,Automotive Shop,Mobile Phone Shop,Sandwich Place,Salon / Barbershop,Farmers Market,Festival
690,Queensboro Hill,Chinese Restaurant,Bakery,Frozen Yogurt Shop,Pizza Place,Bank,Bagel Shop,Dumpling Restaurant,Vegetarian / Vegan Restaurant,Asian Restaurant,Market
691,Queensbridge,Baseball Field,Speakeasy,Zoo Exhibit,Fish Market,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
692,Queenstown,Train Station,Fish Market,Event Service,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
693,Queensway,Coffee Shop,Supermarket,Sporting Goods Shop,Shopping Mall,Korean Restaurant,Fast Food Restaurant,Chinese Restaurant,Pizza Place,Sandwich Place,Asian Restaurant
694,Qībǎo Zhèn,Fast Food Restaurant,Electronics Store,Shopping Mall,Pizza Place,Convenience Store,Zoo Exhibit,Farm,Field,Festival,Farmers Market
695,Raffles Place,Salad Place,Chinese Restaurant,Cocktail Bar,Gym / Fitness Center,French Restaurant,Lounge,Bar,Comfort Food Restaurant,Sandwich Place,Hotel
696,Randall Manor,Bagel Shop,Playground,Deli / Bodega,Pizza Place,Farmers Market,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Zoo Exhibit
697,Rathaus,Café,Swiss Restaurant,French Restaurant,Wine Bar,Hotel,Spanish Restaurant,Bar,Diner,Italian Restaurant,Restaurant
698,Rathnelly,Mexican Restaurant,Park,Flower Shop,Zoo Exhibit,Fish & Chips Shop,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
699,Ravenswood,Grocery Store,Zoo Exhibit,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
700,Red Hook,Bagel Shop,New American Restaurant,Wine Shop,Record Shop,Antique Shop,Flower Shop,Bakery,Art Gallery,Gift Shop,Bar
701,Redbridge,Pub,Hotel,Metro Station,Eastern European Restaurant,Zoo Exhibit,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farm
702,Rego Park,Italian Restaurant,American Restaurant,Market,Peruvian Restaurant,Mediterranean Restaurant,Bank,Bubble Tea Shop,Indian Restaurant,Spa,Martial Arts Dojo
703,Remsen Village,Caribbean Restaurant,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
704,Repulse Bay,Pizza Place,Bus Station,Convenience Store,Beach,Bus Stop,Chinese Restaurant,Coffee Shop,Seafood Restaurant,Spa,Asian Restaurant
705,Richmond,Park,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
706,Richmond Hill,Bank,Latin American Restaurant,Supermarket,Caribbean Restaurant,Sandwich Place,Discount Store,Pizza Place,Diner,Lounge,Gym / Fitness Center
707,Richmond Valley,Train Station,Smoothie Shop,Fish & Chips Shop,Event Service,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
708,Richmond upon Thames,Playground,Zoo Exhibit,Fish Market,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
709,Richview Gardens,Intersection,Gym,Zoo Exhibit,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farm
710,Ridgewood,Gym / Fitness Center,Italian Restaurant,Hardware Store,Zoo Exhibit,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market,Falafel Restaurant
711,Riederwald,Playground,Zoo Exhibit,Fish Market,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
712,River Valley,Noodle House,Asian Restaurant,Chinese Restaurant,Coffee Shop,BBQ Joint,Food Court,Snack Place,Seafood Restaurant,Hotel,Supermarket
713,Riverdale,Chinese Restaurant,Bakery,Grocery Store,Vietnamese Restaurant,Burger Joint,Plaza,Chocolate Shop,Fast Food Restaurant,Bar,Cheese Shop
714,Rivervale,Coffee Shop,Playground,Zoo Exhibit,Fish & Chips Shop,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
715,Robertson Quay,Café,Hotel,Japanese Restaurant,Restaurant,Bar,Italian Restaurant,Coffee Shop,Pizza Place,BBQ Joint,French Restaurant
716,Rochdale,Market,Pet Store,Pharmacy,Breakfast Spot,Exhibit,Event Space,Fabric Shop,Factory,Fish & Chips Shop,Falafel Restaurant
717,Rochor,Café,Chinese Restaurant,Asian Restaurant,Dive Bar,BBQ Joint,Arts & Crafts Store,Bakery,Art Gallery,Indian Restaurant,Hotel
718,Rochor Canal,Hotel,Chinese Restaurant,Café,Indian Restaurant,Hostel,Gaming Cafe,Bakery,BBQ Joint,Sandwich Place,Asian Restaurant
719,Rockaway Beach,Beach,New American Restaurant,Bus Station,Deli / Bodega,Fried Chicken Joint,Spanish Restaurant,Butcher,Candy Store,Bagel Shop,Field
720,Rockaway Park,Beach,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
721,Roncesvalles,Gift Shop,Restaurant,Coffee Shop,Falafel Restaurant,Bar,Bookstore,Thai Restaurant,Gourmet Shop,Movie Theater,Breakfast Spot
722,Roosevelt Island,Deli / Bodega,Monument / Landmark,Liquor Store,School,Noodle House,Restaurant,Indie Theater,Cosmetics Shop,Sandwich Place,Greek Restaurant
723,Roppongi,Japanese Restaurant,BBQ Joint,Steakhouse,Chinese Restaurant,Sake Bar,Bar,Ramen Restaurant,Bakery,Diner,Beer Bar
724,Rosebank,Video Store,Italian Restaurant,Pizza Place,Cajun / Creole Restaurant,Cosmetics Shop,Storage Facility,Pharmacy,Farmers Market,Filipino Restaurant,Field
725,Rosedale,Bus Station,Building,Bike Trail,Snack Place,Bar,Park,Chinese Restaurant,Playground,Festival,Financial or Legal Service
726,Roselawn,Gym Pool,Park,Caribbean Restaurant,Photography Studio,Convenience Store,Field,Festival,Fast Food Restaurant,Farmers Market,Zoo Exhibit
727,Rouge Hill,Train Station,Bus Line,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farm
728,Roxbury,Fast Food Restaurant,Beach,Trail,Baseball Field,Irish Pub,Deli / Bodega,Zoo Exhibit,Financial or Legal Service,Filipino Restaurant,Field
729,Royal York South East,Sushi Restaurant,Italian Restaurant,Pool Hall,Bakery,Bank,Seafood Restaurant,Tapas Restaurant,Breakfast Spot,Pizza Place,Mobile Phone Shop
730,Rugby,Chinese Restaurant,Fish Market,Food,Zoo Exhibit,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
731,Runnymede,Coffee Shop,Bakery,Café,Vegetarian / Vegan Restaurant,Flower Shop,Pharmacy,Bank,Pizza Place,Greek Restaurant,Liquor Store
732,Ryerson,Coffee Shop,Japanese Restaurant,Café,Ramen Restaurant,Art Gallery,Falafel Restaurant,Mexican Restaurant,Thai Restaurant,Middle Eastern Restaurant,College Rec Center
733,Rödelheim,Supermarket,Restaurant,Pet Store,Warehouse Store,Pizza Place,Farm,Field,Festival,Fast Food Restaurant,Farmers Market
734,Saatlen,Bus Station,Zoo Exhibit,Fishing Spot,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
735,Sachsenhausen,Restaurant,German Restaurant,Café,Italian Restaurant,Apple Wine Pub,Bar,Farmers Market,Bakery,Eastern European Restaurant,Organic Grocery
736,Safti,Go Kart Track,Seafood Restaurant,Fast Food Restaurant,Pub,Farmers Market,Filipino Restaurant,Field,Festival,Farm,Fish & Chips Shop
737,Sai Kung Town,Thai Restaurant,Seafood Restaurant,Café,Park,Pub,BBQ Joint,Hong Kong Restaurant,Betting Shop,Grocery Store,Italian Restaurant
738,Sai Wan Ho,Chinese Restaurant,Cha Chaan Teng,Fast Food Restaurant,Cultural Center,Convenience Store,Café,Cantonese Restaurant,Gourmet Shop,Shopping Mall,Hong Kong Restaurant
739,Sai Ying Pun,Thai Restaurant,Coffee Shop,Cha Chaan Teng,Café,Dessert Shop,Seafood Restaurant,French Restaurant,Indonesian Restaurant,Noodle House,Steakhouse
740,San Hui,Light Rail Station,Japanese Restaurant,Hong Kong Restaurant,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,English Restaurant,Farm
741,San Po Kong,Chinese Restaurant,Indie Theater,Zoo Exhibit,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farm
742,San'ya,Convenience Store,Train Station,Indian Restaurant,Fast Food Restaurant,Chinese Restaurant,Unagi Restaurant,Donburi Restaurant,Sake Bar,Japanese Curry Restaurant,Restaurant
743,Sandy Bay,Pool,Italian Restaurant,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Zoo Exhibit
744,Sandy Ground,Bus Stop,Fish & Chips Shop,Art Gallery,Clothing Store,Intersection,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival
745,Sanlitun,Chinese Restaurant,Japanese Restaurant,Italian Restaurant,Café,Coffee Shop,Burger Joint,Bar,Bakery,Hotel,Spanish Restaurant
746,Sasazuka,Convenience Store,Ramen Restaurant,Shopping Mall,Bakery,Sake Bar,Coffee Shop,Grocery Store,Japanese Restaurant,Discount Store,Fast Food Restaurant
747,Sau Mau Ping,Fast Food Restaurant,Shopping Mall,Zoo Exhibit,Fish & Chips Shop,Event Service,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant
748,Scarborough Town Centre,Clothing Store,Cosmetics Shop,Coffee Shop,Tea Room,Sporting Goods Shop,Hobby Shop,Toy / Game Store,Video Game Store,Pharmacy,Big Box Store
749,Scarborough Village,Discount Store,Chinese Restaurant,Department Store,Shopping Mall,Coffee Shop,Zoo Exhibit,Filipino Restaurant,Field,Festival,Fast Food Restaurant
750,Schuylerville,Fast Food Restaurant,Zoo Exhibit,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
751,Schwamendingen Mitte,Asian Restaurant,Bus Station,Miscellaneous Shop,Light Rail Station,Festival,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Zoo Exhibit
752,Schwanheim,Museum,Restaurant,Tram Station,Drugstore,Ice Cream Shop,Athletics & Sports,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field
753,Science Park,Chinese Restaurant,Shopping Mall,Pizza Place,Fast Food Restaurant,Zoo Exhibit,Financial or Legal Service,Event Space,Exhibit,Fabric Shop,Factory
754,Sea Gate,Dog Run,Zoo Exhibit,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
755,Seckbach,Supermarket,Ice Cream Shop,Dog Run,Zoo Exhibit,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival
756,Seefeld,Art Museum,Café,Supermarket,Italian Restaurant,Gourmet Shop,Restaurant,Sushi Restaurant,Wine Bar,Bar,Ice Cream Shop
757,Sembawang,Fast Food Restaurant,Coffee Shop,Japanese Restaurant,Korean Restaurant,Furniture / Home Store,Café,Bistro,Chinese Restaurant,Shopping Mall,Bakery
758,Sendagaya,Café,Convenience Store,Pool,Chinese Restaurant,Food Truck,French Restaurant,Intersection,Gym / Fitness Center,Stadium,Garden
759,Sengkang,Food Court,Fast Food Restaurant,Coffee Shop,Pastry Shop,Asian Restaurant,Bus Stop,Supermarket,Sushi Restaurant,Café,Taxi Stand
760,Serangoon,Bus Station,Convenience Store,Chinese Restaurant,Zoo Exhibit,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farm
761,Serangoon Garden,Chinese Restaurant,Food Court,Noodle House,Szechuan Restaurant,Dessert Shop,Thai Restaurant,Asian Restaurant,Plaza,Korean Restaurant,Café
762,Serangoon North,Coffee Shop,Gym / Fitness Center,Dance Studio,Chinese Restaurant,Supermarket,Asian Restaurant,Noodle House,Diner,Pet Store,Breakfast Spot
763,Sha Tau Kok,Hakka Restaurant,Zoo Exhibit,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
764,Sha Tin,Café,Japanese Restaurant,Chinese Restaurant,Dessert Shop,Dim Sum Restaurant,Clothing Store,Italian Restaurant,Shopping Mall,Electronics Store,Food Court
765,Sha Tin Wai,Train Station,Noodle House,Playground,Fast Food Restaurant,Asian Restaurant,Fabric Shop,Exhibit,Factory,Falafel Restaurant,Fish & Chips Shop
766,Sham Shui Po,Hong Kong Restaurant,Vietnamese Restaurant,Café,Malay Restaurant,Cha Chaan Teng,Dessert Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival
767,Sham Tseng,Chinese Restaurant,Hong Kong Restaurant,Arepa Restaurant,Italian Restaurant,Japanese Restaurant,Grocery Store,Shopping Mall,Dessert Shop,Coffee Shop,Convenience Store
768,Shangdi,Metro Station,Fast Food Restaurant,Bookstore,Bakery,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Zoo Exhibit
769,Shau Kei Wan,Noodle House,Cha Chaan Teng,Chinese Restaurant,Dessert Shop,Grocery Store,Movie Theater,Cantonese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Farmers Market
770,Shek Kip Mei,Fast Food Restaurant,Chinese Restaurant,Hong Kong Restaurant,Cha Chaan Teng,Zoo Exhibit,Fish & Chips Shop,Exhibit,Fabric Shop,Factory,Falafel Restaurant
771,Shek Kong,Trail,Zoo Exhibit,Fish Market,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
772,Shek O,Beach,BBQ Joint,Thai Restaurant,Café,Bus Station,American Restaurant,Breakfast Spot,Bar,Noodle House,Mediterranean Restaurant
773,Shek Tong Tsui,Fast Food Restaurant,Japanese Restaurant,Sushi Restaurant,Tram Station,Dumpling Restaurant,Comfort Food Restaurant,Hong Kong Restaurant,Coffee Shop,Asian Restaurant,Hotel
774,Sheung Shui,Fast Food Restaurant,Chinese Restaurant,Cha Chaan Teng,Betting Shop,Food Court,Bakery,Asian Restaurant,Coffee Shop,Farmers Market,Fish & Chips Shop
775,Sheung Wan,Café,Cha Chaan Teng,Hotel,Japanese Restaurant,Cantonese Restaurant,Creperie,Tapas Restaurant,Bar,Snack Place,Salad Place
776,"Shiba, Minato",Convenience Store,Thai Restaurant,American Restaurant,Monument / Landmark,Hotel,Pool,Historic Site,Spanish Restaurant,Garden,Park
777,Shichahai,Frozen Yogurt Shop,Restaurant,Chinese Restaurant,Historic Site,Vietnamese Restaurant,Zoo Exhibit,Farmers Market,Filipino Restaurant,Field,Festival
778,Shimokitazawa,Café,Beer Bar,Coffee Shop,Sake Bar,Ramen Restaurant,Thai Restaurant,Bar,Okonomiyaki Restaurant,BBQ Joint,Diner
779,Shin-Kiba,Convenience Store,Platform,Train Station,Sake Bar,Café,Intersection,Donburi Restaurant,Ramen Restaurant,Taxi Stand,Gift Shop
780,Shin-Koiwa,Convenience Store,Ramen Restaurant,Sake Bar,Donburi Restaurant,Italian Restaurant,Japanese Restaurant,Fast Food Restaurant,Sushi Restaurant,Supermarket,Noodle House
781,Shinjuku Golden Gai,Bar,BBQ Joint,Japanese Restaurant,Sake Bar,Ramen Restaurant,Yakitori Restaurant,Pub,Chinese Restaurant,Rock Club,Multiplex
782,Shinjuku Ni-chōme,Gay Bar,Japanese Restaurant,Ramen Restaurant,Café,Chinese Restaurant,Japanese Curry Restaurant,Coffee Shop,Nightclub,Bar,BBQ Joint
783,Shiodome,Sake Bar,Japanese Restaurant,Chinese Restaurant,French Restaurant,Hotel,Hotel Bar,Convenience Store,Art Museum,Tonkatsu Restaurant,BBQ Joint
784,Shitaya,Convenience Store,Ramen Restaurant,Japanese Restaurant,Coffee Shop,Donburi Restaurant,Sauna / Steam Room,Motel,Hotel,Sake Bar,Rock Club
785,Shuangjing,Fast Food Restaurant,Chinese Restaurant,Shopping Mall,Supermarket,Japanese Restaurant,Burger Joint,Noodle House,Pizza Place,Food Court,Multiplex
786,Shuguang,Boutique,Middle Eastern Restaurant,Zoo Exhibit,Festival,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Fast Food Restaurant,Fishing Spot
787,Shui Bin Tsuen,Italian Restaurant,Chinese Restaurant,Steakhouse,Thai Restaurant,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant
788,Shun Chi Court,Fast Food Restaurant,Grocery Store,Bus Station,Zoo Exhibit,Fish Market,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
789,Shun Lee Estate,Fast Food Restaurant,Playground,Grocery Store,Zoo Exhibit,Fish & Chips Shop,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant
790,Shun On Estate,Athletics & Sports,Bus Station,Chinese Restaurant,Fast Food Restaurant,Zoo Exhibit,Festival,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field
791,Shun Tin Estate,Fast Food Restaurant,Bus Station,Zoo Exhibit,Fishing Spot,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
792,Shéshān Zhèn,Metro Station,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
793,Shíhuà,Food Court,Zoo Exhibit,Fish Market,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
794,Shānyáng Zhèn,Chinese Restaurant,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
795,"Shōtō, Shibuya",Toll Booth,French Restaurant,Zoo Exhibit,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market,Farm
796,Shūyuàn Zhèn,Metro Station,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
797,Sihlfeld,Italian Restaurant,Cemetery,Lebanese Restaurant,Tapas Restaurant,Factory,Falafel Restaurant,Farm,Farmers Market,Fish Market,Fast Food Restaurant
798,Silver Hills,Park,Tennis Court,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Zoo Exhibit,Fish Market
799,Silverstone,Convenience Store,Shopping Mall,Zoo Exhibit,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market,Farm
800,Silverthorn,Burger Joint,Pizza Place,BBQ Joint,Latin American Restaurant,Sandwich Place,Bakery,Café,Discount Store,Thrift / Vintage Store,Department Store
801,Sindlingen,Lawyer,Zoo Exhibit,Fish Market,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
802,Singapore General Hospital,Cafeteria,Japanese Restaurant,Snack Place,Historic Site,Coffee Shop,Asian Restaurant,Bakery,Farmers Market,Fast Food Restaurant,Financial or Legal Service
803,Singapore Polytechnic,College Cafeteria,Fast Food Restaurant,Sandwich Place,Café,Fish Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Zoo Exhibit
804,Singapore River,Hotel,Nightclub,Lounge,Bar,Mexican Restaurant,Café,Seafood Restaurant,Vegetarian / Vegan Restaurant,Hotpot Restaurant,Brewery
805,Siu Ho Wan,Moving Target,Zoo Exhibit,Fishing Spot,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
806,Siu Lam,Market,General Entertainment,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market,Fishing Spot
807,Siu Lek Yuen,Fast Food Restaurant,Cantonese Restaurant,Bus Station,Bus Stop,Malay Restaurant,Seafood Restaurant,Chinese Restaurant,Cha Chaan Teng,Field,Financial or Legal Service
808,Siu Sai Wan,Fast Food Restaurant,Convenience Store,Park,Korean Restaurant,Supermarket,Market,Hong Kong Restaurant,Chinese Restaurant,Dim Sum Restaurant,Café
809,Soho,Clothing Store,Shoe Store,Women's Store,Boutique,Chinese Restaurant,Art Gallery,Sporting Goods Shop,Yoga Studio,Men's Store,Salon / Barbershop
810,Sok Kwu Wan,Seafood Restaurant,Dessert Shop,Pier,Bay,Restaurant,Farm,Café,Field,Festival,Fast Food Restaurant
811,Sossenheim,Nightclub,Zoo Exhibit,Fishing Spot,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
812,Soundview,Grocery Store,Chinese Restaurant,Burger Joint,Discount Store,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market
813,South Beach,Deli / Bodega,Theme Park,Gym,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market
814,South Hill,Park,Modern European Restaurant,Historic Site,History Museum,Zoo Exhibit,Farmers Market,Field,Festival,Fast Food Restaurant,Falafel Restaurant
815,South Jamaica,Grocery Store,Chinese Restaurant,Shop & Service,Vegetarian / Vegan Restaurant,Zoo Exhibit,Farmers Market,Field,Festival,Fast Food Restaurant,Falafel Restaurant
816,South Niagara,Shoe Store,Women's Store,Optical Shop,Bakery,Pet Store,Coffee Shop,Men's Store,Thai Restaurant,Accessories Store,Dessert Shop
817,South Ozone Park,Deli / Bodega,Donut Shop,Zoo Exhibit,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market
818,South Side,Bar,Coffee Shop,Latin American Restaurant,Burger Joint,Pizza Place,Mexican Restaurant,Bagel Shop,Sushi Restaurant,Greek Restaurant,Grocery Store
819,South of Bloor,Coffee Shop,Cosmetics Shop,Clothing Store,Boutique,Sandwich Place,Breakfast Spot,Restaurant,Concert Hall,Salon / Barbershop,Pharmacy
820,Southern Islands,Boat or Ferry,Pier,Snack Place,Seafood Restaurant,Metro Station,Mexican Restaurant,Gastropub,Bar,History Museum,BBQ Joint
821,Southwark,Pub,Café,Burger Joint,Thai Restaurant,Gym / Fitness Center,Coffee Shop,Bar,Turkish Restaurant,Sandwich Place,Gastropub
822,Springfield Gardens,Intersection,Business Service,Gas Station,Park,Shoe Store,Zoo Exhibit,Farm,Field,Festival,Fast Food Restaurant
823,Spuyten Duyvil,Park,Bus Line,Bus Stop,Food,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival
824,St. Albans,Fast Food Restaurant,Caribbean Restaurant,Deli / Bodega,Zoo Exhibit,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market
825,St. George,Pizza Place,Fast Food Restaurant,Deli / Bodega,Playground,Steakhouse,Clothing Store,Baseball Stadium,Falafel Restaurant,Bar,Donut Shop
